"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11843","keeps unsupported upload formats inside the upload modal","chromium-desktop","2026-07-27","passed","2026-07-27","purchasing validation and error handling","validation/purchasing-validation.spec.ts","",""
"","6840","invalid member login stays on login form and shows feedback","chromium-desktop","2026-07-27","passed","2026-07-27","auth validation and error handling","validation/auth-validation.spec.ts","",""
"","6696","custom size and quantity controls gate the next step until valid values exist","chromium-desktop","2026-07-27","passed","2026-07-27","purchasing validation and error handling","validation/purchasing-validation.spec.ts","",""
"","9169","searches for die-cut sticker and opens product page","chromium-desktop","2026-07-27","passed","2026-07-27","search","discovery/search.spec.ts","",""
"","6796","non-member order lookup requires email and order number","chromium-desktop","2026-07-27","passed","2026-07-27","auth validation and error handling","validation/auth-validation.spec.ts","",""
"","6925","search dialog closes with the close button","chromium-desktop","2026-07-27","passed","2026-07-27","search","discovery/search.spec.ts","",""
"","7346","registration form validates required fields without creating a user","chromium-desktop","2026-07-27","passed","2026-07-27","auth validation and error handling","validation/auth-validation.spec.ts","",""
"","18708","accepts a supported design file and adds the product to cart","chromium-desktop","2026-07-27","passed","2026-07-27","upload and cart","purchasing/cart.spec.ts","",""
"","7126","search dialog closes with Escape","chromium-desktop","2026-07-27","passed","2026-07-27","search","discovery/search.spec.ts","",""
"","7918","guest account menu exposes login and registration actions","chromium-desktop","2026-07-27","passed","2026-07-27","auth","auth/auth.spec.ts","",""
"","17929","adds configured product to cart with upload-later path and removes it","chromium-desktop","2026-07-27","passed","2026-07-27","upload and cart","purchasing/cart.spec.ts","",""
"","15586","configures die-cut sticker size and quantity then opens upload modal","chromium-desktop","2026-07-27","passed","2026-07-27","product configuration","purchasing/product-config.spec.ts","",""
"","267","seeded member can log in from the account menu","chromium-desktop","2026-07-27","skipped","2026-07-27","auth","auth/auth.spec.ts","",""
