"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","813","critical route serves rendered HTML: sheet stickers listing","chromium-desktop","2026-07-24","passed","2026-07-24","production readiness","smoke/production-readiness.spec.ts","",""
"","13617","configures die-cut sticker size and quantity then opens upload modal","chromium-desktop","2026-07-24","passed","2026-07-24","product configuration","purchasing/product-config.spec.ts","",""
"","5151","header navigation routes to product listing categories","chromium-desktop","2026-07-24","passed","2026-07-24","smoke and navigation","smoke/storefront-smoke.spec.ts","",""
"","6494","guest account menu exposes login and registration actions","chromium-desktop","2026-07-24","passed","2026-07-24","auth","auth/auth.spec.ts","",""
"","249","seeded member can log in from the account menu","chromium-desktop","2026-07-24","skipped","2026-07-24","auth","auth/auth.spec.ts","",""
"","18452","accepts a supported design file and adds the product to cart","chromium-desktop","2026-07-24","passed","2026-07-24","upload and cart","purchasing/cart.spec.ts","",""
"","11206","keeps unsupported upload formats inside the upload modal","chromium-desktop","2026-07-24","passed","2026-07-24","purchasing validation and error handling","validation/purchasing-validation.spec.ts","",""
"","998","critical route serves rendered HTML: home","chromium-desktop","2026-07-24","passed","2026-07-24","production readiness","smoke/production-readiness.spec.ts","",""
"","6192","search dialog closes with the close button","chromium-desktop","2026-07-24","passed","2026-07-24","search","discovery/search.spec.ts","",""
"","716","critical route serves rendered HTML: die-cut sticker detail","chromium-desktop","2026-07-24","passed","2026-07-24","production readiness","smoke/production-readiness.spec.ts","",""
"","5627","non-member order lookup requires email and order number","chromium-desktop","2026-07-24","passed","2026-07-24","auth validation and error handling","validation/auth-validation.spec.ts","",""
"","5485","custom size and quantity controls gate the next step until valid values exist","chromium-desktop","2026-07-24","passed","2026-07-24","purchasing validation and error handling","validation/purchasing-validation.spec.ts","",""
"","566","critical route serves rendered HTML: roll stickers listing","chromium-desktop","2026-07-24","passed","2026-07-24","production readiness","smoke/production-readiness.spec.ts","",""
"","5475","registration form validates required fields without creating a user","chromium-desktop","2026-07-24","passed","2026-07-24","auth validation and error handling","validation/auth-validation.spec.ts","",""
"","748","critical route serves rendered HTML: stickers listing","chromium-desktop","2026-07-24","passed","2026-07-24","production readiness","smoke/production-readiness.spec.ts","",""
"","7092","searches for die-cut sticker and opens product page","chromium-desktop","2026-07-24","passed","2026-07-24","search","discovery/search.spec.ts","",""
"","7905","home page loads with core storefront content","chromium-desktop","2026-07-24","passed","2026-07-24","smoke and navigation","smoke/storefront-smoke.spec.ts","",""
"","25997","adds configured product to cart with upload-later path and removes it","chromium-desktop","2026-07-24","failed","2026-07-24","upload and cart","purchasing/cart.spec.ts","",""
"","5463","invalid member login stays on login form and shows feedback","chromium-desktop","2026-07-24","passed","2026-07-24","auth validation and error handling","validation/auth-validation.spec.ts","",""
"","6343","search dialog closes with Escape","chromium-desktop","2026-07-24","passed","2026-07-24","search","discovery/search.spec.ts","",""
